"instr name","Immersion","Feedback","Expression","Feedback1","Expression1"
"10Control",2,2,1,2,1
"1130 Drum Controller",2,2,1,2,1
"4Control",2,2,1,2,1
"Accordiatron",2,2,2,2,2
"Airdrum",3,1,2,1,2
"AirSynth",3,1,2,1,2
"aXiO",2,2,3,2,3
"BigEye",5,1,3,1,3
"bioakustik",5,3,3,3,3
"biofeedback",5,1,3,1,3
"Biomuse",5,1,3,1,3
"Bit Stream Pro",2,2,3,2,3
"Bodysuit",5,1,3,1,3
"BodySynth",5,1,3,1,3
"BoSSA",2,2,3,2,3
"Brocton-X Drum Suit",4,1,2,1,2
"Bug-Mudra / Exos Dexterous Hand Master",4,2,2,2,2
"Celleto",2,2,3,2,3
"ChordBoard",2,2,2,2,2
"Chromasone",4,1,3,1,3
"Contact",2,2,1,2,1
"Continuum Fingerboard",2,1,2,1,2
"Control Freak",2,2,3,2,3
"Control Suit",4,1,1,1,1
"Costel",5,1,3,1,3
"Crackle Box & Crackle Synthesizer",2,1,3,1,3
"Crackle Stage",5,1,3,1,3
"Cyberwhistle",2,2,2,2,2
"Dance Sneakers",4,1,3,1,3
"dancer's belt",4,1,2,1,2
"DanceSpace",5,1,3,1,3
"Dataglove",4,1,3,1,3
"Dataglove as MIDIController",4,1,3,1,3
"Dataglove for conducting",3,1,2,1,2
"ddrum",2,2,2,2,2
"DegerPipes",2,2,2,2,2
"DIEM",5,1,3,1,3
"Digital Baton",3,1,3,1,3
"Dimension Beam (Dbeam)",3,1,2,1,2
"DK10",2,2,2,2,2
"Dr. PAD",2,2,1,2,1
"Drehbank",2,2,2,2,2
"Drumbar",2,2,2,2,2
"Drumitar",2,2,1,2,1
"Drumpad",2,2,1,2,1
"eBoard",2,2,3,2,3
"eBoard2",2,2,3,2,3
"eChant",2,1,1,1,1
"eHarvest",2,1,1,1,1
"Electronic Sackbut",2,2,2,2,2
"Electronic Valve Instrument",2,2,3,2,3
"Electronic Woodwind Instrument",2,2,3,2,3
"eShawl",2,1,1,1,1
"EWI1000 & EVI1000",2,2,3,2,3
"Excalibur",2,2,2,2,2
"Expression Mate",2,2,2,2,2
"FaderMaster Pro",2,2,3,2,3
"GAMS",5,1,2,1,2
"Gesture Wall",3,3,2,3,2
"GloveTalk",4,1,1,1,1
"Handmotions control speech synthesizer",4,1,1,1,1
"Hands",3,2,3,2,3
"Hands II",3,2,3,2,3
"Hypercello",2,2,3,2,3
"I-Cube",5,1,3,1,3
"Imaginary Piano",3,1,1,1,1
"Infrared Baton",3,1,3,1,3
"Joy-Stick Cello",2,2,3,2,3
"Käfig",3,1,1,1,1
"Knobby",2,2,1,2,1
"Lady's Glove",4,1,3,1,3
"Laser Harp",3,3,1,3,1
"Laser Wall",3,3,1,3,1
"LaserWeb",3,1,1,1,1
"Launchpad",2,2,1,2,1
"Laurie Anderson's drum suits",4,1,1,1,1
"Lifefoot",5,1,2,1,2
"Light Baton",3,1,2,1,2
